"tconst","averageRating","numVotes","primaryTitle","releaseYear","runtimeMinutes","actorID","actorName","actorBirthYear","actorDeathYear","actorCategory","actorAlive","actorAge","directorID","directorName","directorBirthYear","directorDeathYear","directorAlive","directorAge","genre_Drama","genre_Fantasy","genre_Horror","genre_Crime","genre_Adventure","genre_Mystery","genre_Sci-Fi","genre_War","genre_Romance","genre_History","genre_Comedy","genre_Western","genre_Thriller","genre_Action","genre_Musical","genre_Film-Noir","genre_Music","genre_Documentary","genre_Family","genre_Biography","genre_Adult","genre_Sport","genre_Animation","genre_Reality-TV","genre_News"
"tt0016950",4.8,8,"Haunted Range",1926,NA,"nm0562770","Ken Maynard",1895,1973,"actor",0,31,"nm0403636","Paul Hurst",1888,1953,0,38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0017048",7.5,3048,"A Page of Madness",1926,70,"nm0409298","Masuo Inoue",1881,1950,"actor",0,45,"nm0455938","Teinosuke Kinugasa",1896,1982,0,30,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"tt0017049",6.9,12,"The Passion of a Woman Teacher",1926,53,"nm0620291","Eiji Nakano",1904,1990,"actor",0,22,"nm0003226","Kenji Mizoguchi",1898,1956,0,28,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0017103",6.7,568,"The Magician",1926,83,"nm0855935","Alice Terry",1900,1987,"actress",0,26,"nm0002271","Rex Ingram",1892,1950,0,34,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0017130",6.6,30,"The Bear's Wedding",1925,68,"nm0250955","Konstantin Eggert",1883,1955,"actor",0,42,"nm0306723","Vladimir Gardin",1877,1965,0,48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0017139",5.5,93,"Midnight Faces",1926,55,"nm0124287","Francis X. Bushman Jr.",1903,1978,"actor",0,23,"nm0169243","Bennett Cohen",1890,1964,0,36,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"tt0017438",6.9,602,"The Man Who Cheated Life",1926,110,"nm0891998","Conrad Veidt",1893,1943,"actor",0,33,"nm0301961","Henrik Galeen",1881,1949,0,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0017621",6.1,301,"A Daughter of Destiny",1928,108,"nm0375609","Brigitte Helm",1906,1996,"actress",0,22,"nm0301961","Henrik Galeen",1881,1949,0,47,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0017739",7.1,2764,"The Cat and the Canary",1927,108,"nm0478851","Laura La Plante",1904,1996,"actress",0,23,"nm0501902","Paul Leni",1885,1929,0,42,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0017947",7.2,21,"The Gorilla",1927,80,"nm0614879","Charles Murray",1872,1941,"actor",0,55,"nm0763453","Alfred Santell",1895,1981,0,32,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
